Start,End,Open,High,Low,Close,Volume,Volatility,Impact,Rolling_std,Price_to_Volume,Cluster
2023-11-06,2023-11-07,34939.54,35276.36,34738.19,35019.43,0.29780946198705277,0.0448479244997286,8.517691007212929e-09,931.4187404381446,117590.05159319776,1
2023-11-05,2023-11-06,35070.6,35311.03,34604.42,35022.44,0.20320112219491032,0.058884724029123425,1.6390264470654854e-08,987.800671861444,172353.5757170008,1
2023-11-04,2023-11-05,34694.69,35208.5,34593.44,35019.68,0.2635425118945989,0.051255485149307944,1.1000319230295839e-08,933.4196703705936,132880.5730363751,1
2023-11-03,2023-11-04,34849.98,34867.65,34130.74,34730.03,0.3740650156784414,0.06140974792927006,9.285643660925705e-09,689.0629679475876,92844.90274240208,1
2023-11-02,2023-11-03,35478.24,35882.72,34455.34,34918.05,0.4669305379888718,0.11894945922742446,1.4409035507312038e-08,323.6081101706595,74782.10817051378,1
2023-11-01,2023-11-02,34600.02,35517.42,34191.59,35428.26,0.32982403665341886,0.11048687912643856,1.8947338837781226e-08,257.69029445042736,107415.64004696309,1
2023-10-31,2023-11-01,34465.02,34664.97,34089.59,34650.03,0.3002356485896931,0.04794878718370429,9.033031878229755e-09,251.7698005390987,115409.44642237769,1
2023-10-30,2023-10-31,34545.59,34826.34,34081.95,34486.77,0.24779481515219823,0.0620330871627052,1.4159420315486051e-08,308.36860203441233,139174.70379199763,1
2023-10-29,2023-10-30,34068.78,34716.85,33958.65,34535.58,0.173184111319825,0.06318393138914136,2.0634945405308092e-08,328.7025709211847,199415.40674145313,1
2023-10-28,2023-10-29,33899.7,34389.96,33862.69,34088.4,0.25890086633567355,0.04393958256865271,9.599258116230266e-09,413.7829381010751,131665.83983463098,1
2023-10-27,2023-10-28,34132.8,34245.0,33439.18,33910.02,0.3229693982259082,0.06715230228435513,1.176031613243633e-08,506.5690093793586,104994.52947019108,1
2023-10-26,2023-10-27,34467.34,34800.64,33770.04,34148.86,0.40538604021013136,0.08588414625382385,1.1983043667068437e-08,502.87988905975493,84237.87849798425,1
2023-10-22,2023-10-23,29913.01,30162.17,29747.9,29965.01,0.20201503861077375,0.03452282676942692,9.665668774029853e-09,1560.9193555636914,148330.59066327315,1
